One,Two
"['06,12,21,25,34,43,28', '12,19,23,33,46,48,29', '12,21,39,41,46,47,14']","09,13,17,28,45,47,03"
"['12,19,23,33,46,48,29', '12,21,39,41,46,47,14', '09,13,17,28,45,47,03']","11,14,19,39,45,49,23"
"['12,21,39,41,46,47,14', '09,13,17,28,45,47,03', '11,14,19,39,45,49,23']","02,07,13,30,36,45,43"
"['09,13,17,28,45,47,03', '11,14,19,39,45,49,23', '02,07,13,30,36,45,43']","14,23,26,32,38,43,03"
"['11,14,19,39,45,49,23', '02,07,13,30,36,45,43', '14,23,26,32,38,43,03']","08,12,16,29,37,39,40"
"['02,07,13,30,36,45,43', '14,23,26,32,38,43,03', '08,12,16,29,37,39,40']","01,17,18,34,46,47,25"
"['14,23,26,32,38,43,03', '08,12,16,29,37,39,40', '01,17,18,34,46,47,25']","07,11,22,37,40,41,20"
"['08,12,16,29,37,39,40', '01,17,18,34,46,47,25', '07,11,22,37,40,41,20']","07,11,16,20,30,33,06"
"['01,17,18,34,46,47,25', '07,11,22,37,40,41,20', '07,11,16,20,30,33,06']","01,03,04,18,25,47,13"
"['07,11,22,37,40,41,20', '07,11,16,20,30,33,06', '01,03,04,18,25,47,13']","06,14,30,42,47,48,18"
"['07,11,16,20,30,33,06', '01,03,04,18,25,47,13', '06,14,30,42,47,48,18']","09,16,30,34,36,49,31"
"['01,03,04,18,25,47,13', '06,14,30,42,47,48,18', '09,16,30,34,36,49,31']","03,27,30,35,39,41,32"
"['06,14,30,42,47,48,18', '09,16,30,34,36,49,31', '03,27,30,35,39,41,32']","05,07,12,17,22,29,04"
"['09,16,30,34,36,49,31', '03,27,30,35,39,41,32', '05,07,12,17,22,29,04']","07,14,17,22,23,34,12"
"['03,27,30,35,39,41,32', '05,07,12,17,22,29,04', '07,14,17,22,23,34,12']","03,09,17,21,41,46,27"
"['05,07,12,17,22,29,04', '07,14,17,22,23,34,12', '03,09,17,21,41,46,27']","10,14,19,20,43,45,22"
"['07,14,17,22,23,34,12', '03,09,17,21,41,46,27', '10,14,19,20,43,45,22']","11,20,23,30,39,44,49"
"['03,09,17,21,41,46,27', '10,14,19,20,43,45,22', '11,20,23,30,39,44,49']","11,23,29,33,34,40,06"
"['10,14,19,20,43,45,22', '11,20,23,30,39,44,49', '11,23,29,33,34,40,06']","01,03,16,20,21,26,22"
"['11,20,23,30,39,44,49', '11,23,29,33,34,40,06', '01,03,16,20,21,26,22']","04,06,18,29,35,48,20"
"['11,23,29,33,34,40,06', '01,03,16,20,21,26,22', '04,06,18,29,35,48,20']","06,10,11,22,32,45,04"
"['01,03,16,20,21,26,22', '04,06,18,29,35,48,20', '06,10,11,22,32,45,04']","03,13,29,30,34,48,28"
"['04,06,18,29,35,48,20', '06,10,11,22,32,45,04', '03,13,29,30,34,48,28']","18,19,22,32,44,47,09"
"['06,10,11,22,32,45,04', '03,13,29,30,34,48,28', '18,19,22,32,44,47,09']","09,24,25,31,37,45,12"
"['03,13,29,30,34,48,28', '18,19,22,32,44,47,09', '09,24,25,31,37,45,12']","08,12,13,16,27,32,24"
"['18,19,22,32,44,47,09', '09,24,25,31,37,45,12', '08,12,13,16,27,32,24']","04,11,21,25,35,37,43"
"['09,24,25,31,37,45,12', '08,12,13,16,27,32,24', '04,11,21,25,35,37,43']","04,05,26,30,38,41,28"
"['08,12,13,16,27,32,24', '04,11,21,25,35,37,43', '04,05,26,30,38,41,28']","15,21,23,26,43,48,34"
"['04,11,21,25,35,37,43', '04,05,26,30,38,41,28', '15,21,23,26,43,48,34']","16,35,38,44,45,48,27"
"['04,05,26,30,38,41,28', '15,21,23,26,43,48,34', '16,35,38,44,45,48,27']","11,13,17,35,39,46,02"
"['15,21,23,26,43,48,34', '16,35,38,44,45,48,27', '11,13,17,35,39,46,02']","10,15,17,20,43,46,37"
"['16,35,38,44,45,48,27', '11,13,17,35,39,46,02', '10,15,17,20,43,46,37']","04,09,14,23,44,46,41"
"['11,13,17,35,39,46,02', '10,15,17,20,43,46,37', '04,09,14,23,44,46,41']","06,11,16,17,27,42,35"
"['10,15,17,20,43,46,37', '04,09,14,23,44,46,41', '06,11,16,17,27,42,35']","05,15,18,39,40,44,37"
"['04,09,14,23,44,46,41', '06,11,16,17,27,42,35', '05,15,18,39,40,44,37']","03,10,13,28,44,48,01"
"['06,11,16,17,27,42,35', '05,15,18,39,40,44,37', '03,10,13,28,44,48,01']","01,03,07,15,25,33,21"
"['05,15,18,39,40,44,37', '03,10,13,28,44,48,01', '01,03,07,15,25,33,21']","16,19,24,29,41,43,32"
"['03,10,13,28,44,48,01', '01,03,07,15,25,33,21', '16,19,24,29,41,43,32']","01,08,13,30,32,42,11"
"['01,03,07,15,25,33,21', '16,19,24,29,41,43,32', '01,08,13,30,32,42,11']","03,07,11,12,16,30,13"
"['16,19,24,29,41,43,32', '01,08,13,30,32,42,11', '03,07,11,12,16,30,13']","08,12,13,29,37,49,43"
"['01,08,13,30,32,42,11', '03,07,11,12,16,30,13', '08,12,13,29,37,49,43']","05,06,11,15,18,25,31"
"['03,07,11,12,16,30,13', '08,12,13,29,37,49,43', '05,06,11,15,18,25,31']","04,11,18,22,23,31,19"
"['08,12,13,29,37,49,43', '05,06,11,15,18,25,31', '04,11,18,22,23,31,19']","01,04,25,29,42,43,11"
"['05,06,11,15,18,25,31', '04,11,18,22,23,31,19', '01,04,25,29,42,43,11']","08,15,32,36,40,43,03"
"['04,11,18,22,23,31,19', '01,04,25,29,42,43,11', '08,15,32,36,40,43,03']","16,21,34,37,41,47,29"
"['01,04,25,29,42,43,11', '08,15,32,36,40,43,03', '16,21,34,37,41,47,29']","06,13,15,19,37,41,22"
"['08,15,32,36,40,43,03', '16,21,34,37,41,47,29', '06,13,15,19,37,41,22']","04,05,23,25,40,41,11"
"['16,21,34,37,41,47,29', '06,13,15,19,37,41,22', '04,05,23,25,40,41,11']","01,09,13,28,29,48,45"
"['06,13,15,19,37,41,22', '04,05,23,25,40,41,11', '01,09,13,28,29,48,45']","04,09,10,39,40,42,08"
"['04,05,23,25,40,41,11', '01,09,13,28,29,48,45', '04,09,10,39,40,42,08']","02,07,26,31,44,47,36"
"['01,09,13,28,29,48,45', '04,09,10,39,40,42,08', '02,07,26,31,44,47,36']","01,11,16,18,31,33,19"
"['04,09,10,39,40,42,08', '02,07,26,31,44,47,36', '01,11,16,18,31,33,19']","07,10,11,27,28,45,21"
"['02,07,26,31,44,47,36', '01,11,16,18,31,33,19', '07,10,11,27,28,45,21']","08,24,27,30,45,49,42"
"['01,11,16,18,31,33,19', '07,10,11,27,28,45,21', '08,24,27,30,45,49,42']","08,16,22,28,45,48,13"
"['07,10,11,27,28,45,21', '08,24,27,30,45,49,42', '08,16,22,28,45,48,13']","03,06,08,15,20,30,40"
"['08,24,27,30,45,49,42', '08,16,22,28,45,48,13', '03,06,08,15,20,30,40']","07,08,10,17,34,36,43"
"['08,16,22,28,45,48,13', '03,06,08,15,20,30,40', '07,08,10,17,34,36,43']","01,16,41,43,46,47,25"
"['03,06,08,15,20,30,40', '07,08,10,17,34,36,43', '01,16,41,43,46,47,25']","12,17,32,37,38,39,27"
"['07,08,10,17,34,36,43', '01,16,41,43,46,47,25', '12,17,32,37,38,39,27']","20,25,29,31,40,44,21"
"['01,16,41,43,46,47,25', '12,17,32,37,38,39,27', '20,25,29,31,40,44,21']","24,29,31,32,44,49,39"
"['12,17,32,37,38,39,27', '20,25,29,31,40,44,21', '24,29,31,32,44,49,39']","02,08,22,27,35,43,24"
"['20,25,29,31,40,44,21', '24,29,31,32,44,49,39', '02,08,22,27,35,43,24']","03,08,10,28,38,47,13"
"['24,29,31,32,44,49,39', '02,08,22,27,35,43,24', '03,08,10,28,38,47,13']","11,15,36,41,44,45,35"
"['02,08,22,27,35,43,24', '03,08,10,28,38,47,13', '11,15,36,41,44,45,35']","01,03,25,31,35,44,15"
"['03,08,10,28,38,47,13', '11,15,36,41,44,45,35', '01,03,25,31,35,44,15']","09,13,21,25,38,39,02"
"['11,15,36,41,44,45,35', '01,03,25,31,35,44,15', '09,13,21,25,38,39,02']","06,10,39,44,46,47,30"
"['01,03,25,31,35,44,15', '09,13,21,25,38,39,02', '06,10,39,44,46,47,30']","06,16,17,36,37,41,28"
"['09,13,21,25,38,39,02', '06,10,39,44,46,47,30', '06,16,17,36,37,41,28']","02,13,30,31,34,44,39"
"['06,10,39,44,46,47,30', '06,16,17,36,37,41,28', '02,13,30,31,34,44,39']","05,10,18,29,41,44,30"
"['06,16,17,36,37,41,28', '02,13,30,31,34,44,39', '05,10,18,29,41,44,30']","08,28,31,32,36,43,09"
"['02,13,30,31,34,44,39', '05,10,18,29,41,44,30', '08,28,31,32,36,43,09']","19,20,44,46,47,49,09"
"['05,10,18,29,41,44,30', '08,28,31,32,36,43,09', '19,20,44,46,47,49,09']","09,18,19,20,40,48,03"
"['08,28,31,32,36,43,09', '19,20,44,46,47,49,09', '09,18,19,20,40,48,03']","08,11,12,15,40,46,16"
"['19,20,44,46,47,49,09', '09,18,19,20,40,48,03', '08,11,12,15,40,46,16']","13,15,22,26,45,47,49"
"['09,18,19,20,40,48,03', '08,11,12,15,40,46,16', '13,15,22,26,45,47,49']","10,15,20,21,27,36,45"
"['08,11,12,15,40,46,16', '13,15,22,26,45,47,49', '10,15,20,21,27,36,45']","08,20,29,30,42,49,21"
"['13,15,22,26,45,47,49', '10,15,20,21,27,36,45', '08,20,29,30,42,49,21']","05,13,14,23,24,42,35"
"['10,15,20,21,27,36,45', '08,20,29,30,42,49,21', '05,13,14,23,24,42,35']","01,02,35,43,45,46,14"
"['08,20,29,30,42,49,21', '05,13,14,23,24,42,35', '01,02,35,43,45,46,14']","25,26,27,28,36,37,38"
"['05,13,14,23,24,42,35', '01,02,35,43,45,46,14', '25,26,27,28,36,37,38']","03,12,17,19,38,48,43"
"['01,02,35,43,45,46,14', '25,26,27,28,36,37,38', '03,12,17,19,38,48,43']","13,16,18,30,32,40,29"
"['25,26,27,28,36,37,38', '03,12,17,19,38,48,43', '13,16,18,30,32,40,29']","06,15,27,32,44,49,16"
"['03,12,17,19,38,48,43', '13,16,18,30,32,40,29', '06,15,27,32,44,49,16']","10,12,25,33,39,42,29"
"['13,16,18,30,32,40,29', '06,15,27,32,44,49,16', '10,12,25,33,39,42,29']","08,09,16,39,40,44,28"
"['06,15,27,32,44,49,16', '10,12,25,33,39,42,29', '08,09,16,39,40,44,28']","04,07,20,27,33,40,38"
"['10,12,25,33,39,42,29', '08,09,16,39,40,44,28', '04,07,20,27,33,40,38']","10,12,14,19,30,45,41"
"['08,09,16,39,40,44,28', '04,07,20,27,33,40,38', '10,12,14,19,30,45,41']","05,06,13,26,29,47,33"
"['04,07,20,27,33,40,38', '10,12,14,19,30,45,41', '05,06,13,26,29,47,33']","01,14,27,33,42,46,41"
"['10,12,14,19,30,45,41', '05,06,13,26,29,47,33', '01,14,27,33,42,46,41']","21,23,28,29,41,46,24"
"['05,06,13,26,29,47,33', '01,14,27,33,42,46,41', '21,23,28,29,41,46,24']","18,19,32,35,46,48,47"
"['01,14,27,33,42,46,41', '21,23,28,29,41,46,24', '18,19,32,35,46,48,47']","05,06,12,28,29,41,07"
"['21,23,28,29,41,46,24', '18,19,32,35,46,48,47', '05,06,12,28,29,41,07']","02,13,33,35,43,45,05"
"['18,19,32,35,46,48,47', '05,06,12,28,29,41,07', '02,13,33,35,43,45,05']","03,05,11,18,25,38,15"
"['05,06,12,28,29,41,07', '02,13,33,35,43,45,05', '03,05,11,18,25,38,15']","03,04,25,35,41,45,07"
"['02,13,33,35,43,45,05', '03,05,11,18,25,38,15', '03,04,25,35,41,45,07']","08,19,22,24,26,28,18"
"['03,05,11,18,25,38,15', '03,04,25,35,41,45,07', '08,19,22,24,26,28,18']","03,20,27,34,37,44,12"
"['03,04,25,35,41,45,07', '08,19,22,24,26,28,18', '03,20,27,34,37,44,12']","08,21,32,35,41,48,34"
"['08,19,22,24,26,28,18', '03,20,27,34,37,44,12', '08,21,32,35,41,48,34']","01,07,19,20,46,47,13"
"['03,20,27,34,37,44,12', '08,21,32,35,41,48,34', '01,07,19,20,46,47,13']","02,05,11,28,32,34,24"
"['08,21,32,35,41,48,34', '01,07,19,20,46,47,13', '02,05,11,28,32,34,24']","02,10,11,20,26,45,30"
"['01,07,19,20,46,47,13', '02,05,11,28,32,34,24', '02,10,11,20,26,45,30']","03,21,23,28,37,43,05"
"['02,05,11,28,32,34,24', '02,10,11,20,26,45,30', '03,21,23,28,37,43,05']","15,16,29,39,42,46,14"
"['02,10,11,20,26,45,30', '03,21,23,28,37,43,05', '15,16,29,39,42,46,14']","03,06,18,27,29,32,40"
"['03,21,23,28,37,43,05', '15,16,29,39,42,46,14', '03,06,18,27,29,32,40']","01,13,23,29,31,33,17"
"['15,16,29,39,42,46,14', '03,06,18,27,29,32,40', '01,13,23,29,31,33,17']","02,10,15,28,44,49,39"
"['03,06,18,27,29,32,40', '01,13,23,29,31,33,17', '02,10,15,28,44,49,39']","08,28,41,42,44,49,30"
"['01,13,23,29,31,33,17', '02,10,15,28,44,49,39', '08,28,41,42,44,49,30']","08,15,25,29,47,49,09"
"['02,10,15,28,44,49,39', '08,28,41,42,44,49,30', '08,15,25,29,47,49,09']","03,05,12,26,36,44,23"
"['08,28,41,42,44,49,30', '08,15,25,29,47,49,09', '03,05,12,26,36,44,23']","13,25,31,35,41,46,49"
"['08,15,25,29,47,49,09', '03,05,12,26,36,44,23', '13,25,31,35,41,46,49']","01,03,11,22,29,33,30"
"['03,05,12,26,36,44,23', '13,25,31,35,41,46,49', '01,03,11,22,29,33,30']","26,32,33,36,45,47,39"
"['13,25,31,35,41,46,49', '01,03,11,22,29,33,30', '26,32,33,36,45,47,39']","01,22,23,38,48,49,11"
"['01,03,11,22,29,33,30', '26,32,33,36,45,47,39', '01,22,23,38,48,49,11']","10,11,17,20,42,44,13"
"['26,32,33,36,45,47,39', '01,22,23,38,48,49,11', '10,11,17,20,42,44,13']","11,17,19,33,45,47,04"
"['01,22,23,38,48,49,11', '10,11,17,20,42,44,13', '11,17,19,33,45,47,04']","13,32,36,40,42,43,41"
"['10,11,17,20,42,44,13', '11,17,19,33,45,47,04', '13,32,36,40,42,43,41']","02,04,13,25,32,43,15"
"['11,17,19,33,45,47,04', '13,32,36,40,42,43,41', '02,04,13,25,32,43,15']","12,13,15,18,24,36,39"
"['13,32,36,40,42,43,41', '02,04,13,25,32,43,15', '12,13,15,18,24,36,39']","03,04,06,09,17,24,28"
"['02,04,13,25,32,43,15', '12,13,15,18,24,36,39', '03,04,06,09,17,24,28']","04,07,09,13,29,46,08"
"['12,13,15,18,24,36,39', '03,04,06,09,17,24,28', '04,07,09,13,29,46,08']","05,32,36,40,42,49,01"
"['03,04,06,09,17,24,28', '04,07,09,13,29,46,08', '05,32,36,40,42,49,01']","06,09,14,16,22,33,11"
"['04,07,09,13,29,46,08', '05,32,36,40,42,49,01', '06,09,14,16,22,33,11']","03,11,25,34,46,47,42"
"['05,32,36,40,42,49,01', '06,09,14,16,22,33,11', '03,11,25,34,46,47,42']","06,21,22,35,37,44,29"
"['06,09,14,16,22,33,11', '03,11,25,34,46,47,42', '06,21,22,35,37,44,29']","04,06,11,41,43,46,21"
"['03,11,25,34,46,47,42', '06,21,22,35,37,44,29', '04,06,11,41,43,46,21']","02,06,27,34,38,43,45"
"['06,21,22,35,37,44,29', '04,06,11,41,43,46,21', '02,06,27,34,38,43,45']","03,28,39,41,46,48,09"
"['04,06,11,41,43,46,21', '02,06,27,34,38,43,45', '03,28,39,41,46,48,09']","14,20,21,32,38,43,23"
"['02,06,27,34,38,43,45', '03,28,39,41,46,48,09', '14,20,21,32,38,43,23']","03,06,12,34,37,43,28"
"['03,28,39,41,46,48,09', '14,20,21,32,38,43,23', '03,06,12,34,37,43,28']","02,05,11,17,27,40,20"
"['14,20,21,32,38,43,23', '03,06,12,34,37,43,28', '02,05,11,17,27,40,20']","05,09,10,28,29,45,41"
"['03,06,12,34,37,43,28', '02,05,11,17,27,40,20', '05,09,10,28,29,45,41']","07,25,27,31,40,49,11"
"['02,05,11,17,27,40,20', '05,09,10,28,29,45,41', '07,25,27,31,40,49,11']","03,06,15,16,27,31,14"
"['05,09,10,28,29,45,41', '07,25,27,31,40,49,11', '03,06,15,16,27,31,14']","03,11,15,23,40,46,13"
"['07,25,27,31,40,49,11', '03,06,15,16,27,31,14', '03,11,15,23,40,46,13']","01,09,15,25,29,35,38"
"['03,06,15,16,27,31,14', '03,11,15,23,40,46,13', '01,09,15,25,29,35,38']","14,15,26,29,35,44,09"
"['03,11,15,23,40,46,13', '01,09,15,25,29,35,38', '14,15,26,29,35,44,09']","05,11,29,36,42,46,48"
"['01,09,15,25,29,35,38', '14,15,26,29,35,44,09', '05,11,29,36,42,46,48']","05,13,15,16,18,30,08"
"['14,15,26,29,35,44,09', '05,11,29,36,42,46,48', '05,13,15,16,18,30,08']","03,14,24,35,39,44,28"
"['05,11,29,36,42,46,48', '05,13,15,16,18,30,08', '03,14,24,35,39,44,28']","04,09,15,21,27,45,06"
"['05,13,15,16,18,30,08', '03,14,24,35,39,44,28', '04,09,15,21,27,45,06']","08,16,20,38,39,42,29"
"['03,14,24,35,39,44,28', '04,09,15,21,27,45,06', '08,16,20,38,39,42,29']","09,24,28,35,45,47,48"
"['04,09,15,21,27,45,06', '08,16,20,38,39,42,29', '09,24,28,35,45,47,48']","02,17,28,32,38,46,49"
"['08,16,20,38,39,42,29', '09,24,28,35,45,47,48', '02,17,28,32,38,46,49']","02,14,16,22,37,46,49"
"['09,24,28,35,45,47,48', '02,17,28,32,38,46,49', '02,14,16,22,37,46,49']","07,08,18,21,23,24,11"
"['02,17,28,32,38,46,49', '02,14,16,22,37,46,49', '07,08,18,21,23,24,11']","11,16,29,30,37,43,13"
"['02,14,16,22,37,46,49', '07,08,18,21,23,24,11', '11,16,29,30,37,43,13']","13,22,23,29,31,48,06"
"['07,08,18,21,23,24,11', '11,16,29,30,37,43,13', '13,22,23,29,31,48,06']","07,30,32,44,48,49,45"
"['11,16,29,30,37,43,13', '13,22,23,29,31,48,06', '07,30,32,44,48,49,45']","09,27,32,42,45,49,30"
"['13,22,23,29,31,48,06', '07,30,32,44,48,49,45', '09,27,32,42,45,49,30']","03,27,30,31,32,39,35"
"['07,30,32,44,48,49,45', '09,27,32,42,45,49,30', '03,27,30,31,32,39,35']","01,09,24,32,41,49,40"
"['09,27,32,42,45,49,30', '03,27,30,31,32,39,35', '01,09,24,32,41,49,40']","17,28,32,34,35,45,08"
"['03,27,30,31,32,39,35', '01,09,24,32,41,49,40', '17,28,32,34,35,45,08']","07,08,24,29,32,48,37"
"['01,09,24,32,41,49,40', '17,28,32,34,35,45,08', '07,08,24,29,32,48,37']","07,09,23,33,41,43,24"
"['17,28,32,34,35,45,08', '07,08,24,29,32,48,37', '07,09,23,33,41,43,24']","11,18,30,34,37,47,17"
"['07,08,24,29,32,48,37', '07,09,23,33,41,43,24', '11,18,30,34,37,47,17']","09,11,13,23,26,42,47"
"['07,09,23,33,41,43,24', '11,18,30,34,37,47,17', '09,11,13,23,26,42,47']","01,10,21,35,40,44,36"
"['11,18,30,34,37,47,17', '09,11,13,23,26,42,47', '01,10,21,35,40,44,36']","01,15,16,32,44,48,40"
"['09,11,13,23,26,42,47', '01,10,21,35,40,44,36', '01,15,16,32,44,48,40']","02,03,22,26,32,34,40"
"['01,10,21,35,40,44,36', '01,15,16,32,44,48,40', '02,03,22,26,32,34,40']","11,12,20,26,28,43,06"
"['01,15,16,32,44,48,40', '02,03,22,26,32,34,40', '11,12,20,26,28,43,06']","15,16,29,34,41,44,49"
"['02,03,22,26,32,34,40', '11,12,20,26,28,43,06', '15,16,29,34,41,44,49']","05,11,18,23,36,43,14"
"['11,12,20,26,28,43,06', '15,16,29,34,41,44,49', '05,11,18,23,36,43,14']","11,19,25,27,40,49,33"
"['15,16,29,34,41,44,49', '05,11,18,23,36,43,14', '11,19,25,27,40,49,33']","03,20,30,35,38,41,47"
"['05,11,18,23,36,43,14', '11,19,25,27,40,49,33', '03,20,30,35,38,41,47']","02,08,10,14,27,49,20"
"['11,19,25,27,40,49,33', '03,20,30,35,38,41,47', '02,08,10,14,27,49,20']","05,16,25,32,37,44,21"
"['03,20,30,35,38,41,47', '02,08,10,14,27,49,20', '05,16,25,32,37,44,21']","01,17,20,36,37,45,15"
"['02,08,10,14,27,49,20', '05,16,25,32,37,44,21', '01,17,20,36,37,45,15']","14,28,31,38,42,44,45"
"['05,16,25,32,37,44,21', '01,17,20,36,37,45,15', '14,28,31,38,42,44,45']","02,11,20,32,33,36,39"
"['01,17,20,36,37,45,15', '14,28,31,38,42,44,45', '02,11,20,32,33,36,39']","09,10,14,20,36,47,08"
"['14,28,31,38,42,44,45', '02,11,20,32,33,36,39', '09,10,14,20,36,47,08']","01,11,19,24,26,28,33"
"['02,11,20,32,33,36,39', '09,10,14,20,36,47,08', '01,11,19,24,26,28,33']","17,18,40,41,45,47,29"
"['09,10,14,20,36,47,08', '01,11,19,24,26,28,33', '17,18,40,41,45,47,29']","10,14,19,24,35,37,39"
"['01,11,19,24,26,28,33', '17,18,40,41,45,47,29', '10,14,19,24,35,37,39']","18,35,36,41,47,49,15"
"['17,18,40,41,45,47,29', '10,14,19,24,35,37,39', '18,35,36,41,47,49,15']","08,15,19,22,29,37,39"
"['10,14,19,24,35,37,39', '18,35,36,41,47,49,15', '08,15,19,22,29,37,39']","02,11,20,28,32,38,16"
"['18,35,36,41,47,49,15', '08,15,19,22,29,37,39', '02,11,20,28,32,38,16']","02,06,17,29,32,39,04"
"['08,15,19,22,29,37,39', '02,11,20,28,32,38,16', '02,06,17,29,32,39,04']","07,12,16,18,19,41,45"
"['02,11,20,28,32,38,16', '02,06,17,29,32,39,04', '07,12,16,18,19,41,45']","02,23,27,31,36,49,15"
"['02,06,17,29,32,39,04', '07,12,16,18,19,41,45', '02,23,27,31,36,49,15']","21,23,29,41,42,49,14"
"['07,12,16,18,19,41,45', '02,23,27,31,36,49,15', '21,23,29,41,42,49,14']","10,16,25,27,32,36,45"
"['02,23,27,31,36,49,15', '21,23,29,41,42,49,14', '10,16,25,27,32,36,45']","07,08,36,39,42,43,22"
"['21,23,29,41,42,49,14', '10,16,25,27,32,36,45', '07,08,36,39,42,43,22']","09,10,21,23,38,39,35"
"['10,16,25,27,32,36,45', '07,08,36,39,42,43,22', '09,10,21,23,38,39,35']","01,17,19,23,32,43,09"
"['07,08,36,39,42,43,22', '09,10,21,23,38,39,35', '01,17,19,23,32,43,09']","08,16,23,30,31,43,18"
"['09,10,21,23,38,39,35', '01,17,19,23,32,43,09', '08,16,23,30,31,43,18']","06,07,09,12,14,19,17"
"['01,17,19,23,32,43,09', '08,16,23,30,31,43,18', '06,07,09,12,14,19,17']","18,23,29,46,47,48,05"
"['08,16,23,30,31,43,18', '06,07,09,12,14,19,17', '18,23,29,46,47,48,05']","04,06,10,12,34,45,44"
"['06,07,09,12,14,19,17', '18,23,29,46,47,48,05', '04,06,10,12,34,45,44']","26,31,32,38,42,45,37"
"['18,23,29,46,47,48,05', '04,06,10,12,34,45,44', '26,31,32,38,42,45,37']","04,11,26,33,40,42,34"
"['04,06,10,12,34,45,44', '26,31,32,38,42,45,37', '04,11,26,33,40,42,34']","05,08,21,23,32,45,18"
"['26,31,32,38,42,45,37', '04,11,26,33,40,42,34', '05,08,21,23,32,45,18']","31,32,34,36,44,47,46"
"['04,11,26,33,40,42,34', '05,08,21,23,32,45,18', '31,32,34,36,44,47,46']","05,21,30,32,35,45,26"
"['05,08,21,23,32,45,18', '31,32,34,36,44,47,46', '05,21,30,32,35,45,26']","03,09,13,17,28,42,14"
"['31,32,34,36,44,47,46', '05,21,30,32,35,45,26', '03,09,13,17,28,42,14']","01,02,15,19,21,30,40"
"['05,21,30,32,35,45,26', '03,09,13,17,28,42,14', '01,02,15,19,21,30,40']","07,18,23,32,34,48,13"
"['03,09,13,17,28,42,14', '01,02,15,19,21,30,40', '07,18,23,32,34,48,13']","01,07,14,15,18,30,33"
"['01,02,15,19,21,30,40', '07,18,23,32,34,48,13', '01,07,14,15,18,30,33']","10,22,25,33,39,47,38"
"['07,18,23,32,34,48,13', '01,07,14,15,18,30,33', '10,22,25,33,39,47,38']","03,14,17,24,27,48,28"
"['01,07,14,15,18,30,33', '10,22,25,33,39,47,38', '03,14,17,24,27,48,28']","06,07,08,09,21,48,18"
"['10,22,25,33,39,47,38', '03,14,17,24,27,48,28', '06,07,08,09,21,48,18']","13,21,27,34,35,36,24"
"['03,14,17,24,27,48,28', '06,07,08,09,21,48,18', '13,21,27,34,35,36,24']","01,08,12,14,40,41,15"
"['06,07,08,09,21,48,18', '13,21,27,34,35,36,24', '01,08,12,14,40,41,15']","12,14,16,33,36,47,48"
"['13,21,27,34,35,36,24', '01,08,12,14,40,41,15', '12,14,16,33,36,47,48']","03,06,18,20,25,48,12"
"['01,08,12,14,40,41,15', '12,14,16,33,36,47,48', '03,06,18,20,25,48,12']","04,21,28,32,37,42,16"
"['12,14,16,33,36,47,48', '03,06,18,20,25,48,12', '04,21,28,32,37,42,16']","03,11,28,32,33,35,30"
"['03,06,18,20,25,48,12', '04,21,28,32,37,42,16', '03,11,28,32,33,35,30']","25,29,40,41,47,49,48"
"['04,21,28,32,37,42,16', '03,11,28,32,33,35,30', '25,29,40,41,47,49,48']","16,31,32,33,35,44,46"
"['03,11,28,32,33,35,30', '25,29,40,41,47,49,48', '16,31,32,33,35,44,46']","09,17,21,24,30,35,15"
"['25,29,40,41,47,49,48', '16,31,32,33,35,44,46', '09,17,21,24,30,35,15']","10,19,23,26,32,39,16"
"['16,31,32,33,35,44,46', '09,17,21,24,30,35,15', '10,19,23,26,32,39,16']","11,17,22,27,30,46,15"
"['09,17,21,24,30,35,15', '10,19,23,26,32,39,16', '11,17,22,27,30,46,15']","06,13,30,33,34,35,38"
"['10,19,23,26,32,39,16', '11,17,22,27,30,46,15', '06,13,30,33,34,35,38']","14,31,38,41,42,45,29"
"['11,17,22,27,30,46,15', '06,13,30,33,34,35,38', '14,31,38,41,42,45,29']","15,20,29,31,32,44,23"
"['06,13,30,33,34,35,38', '14,31,38,41,42,45,29', '15,20,29,31,32,44,23']","01,11,13,21,27,37,03"
"['14,31,38,41,42,45,29', '15,20,29,31,32,44,23', '01,11,13,21,27,37,03']","10,25,35,39,40,46,31"
"['15,20,29,31,32,44,23', '01,11,13,21,27,37,03', '10,25,35,39,40,46,31']","01,07,23,25,37,40,12"
"['01,11,13,21,27,37,03', '10,25,35,39,40,46,31', '01,07,23,25,37,40,12']","02,09,27,30,44,46,22"
"['10,25,35,39,40,46,31', '01,07,23,25,37,40,12', '02,09,27,30,44,46,22']","04,24,34,35,38,46,30"
"['01,07,23,25,37,40,12', '02,09,27,30,44,46,22', '04,24,34,35,38,46,30']","11,12,15,18,20,37,42"
"['02,09,27,30,44,46,22', '04,24,34,35,38,46,30', '11,12,15,18,20,37,42']","08,09,15,40,44,48,24"
"['04,24,34,35,38,46,30', '11,12,15,18,20,37,42', '08,09,15,40,44,48,24']","05,08,24,26,35,44,41"
"['11,12,15,18,20,37,42', '08,09,15,40,44,48,24', '05,08,24,26,35,44,41']","01,03,04,09,12,17,15"
"['08,09,15,40,44,48,24', '05,08,24,26,35,44,41', '01,03,04,09,12,17,15']","01,14,17,27,28,45,11"
"['05,08,24,26,35,44,41', '01,03,04,09,12,17,15', '01,14,17,27,28,45,11']","08,24,35,37,41,47,23"
"['01,03,04,09,12,17,15', '01,14,17,27,28,45,11', '08,24,35,37,41,47,23']","18,22,29,30,46,47,06"
